"Individual","period","count","hours.obs","rate"
"Gaby",1,2,44.1,0.045351474
"Gaby",2,0,41.7,0
"Gaby",3,0,47.6,0
"Geisha",1,0,44.1,0
"Geisha",2,1,41.7,0.023980815
"Geisha",3,0,47.6,0
"Jimmie",1,1,44.1,0.022675737
"Jimmie",2,0,41.7,0
"Jimmie",3,1,47.6,0.021008403
"Moni",1,18,44.1,0.408163265
"Moni",2,31,41.7,0.743405276
"Moni",3,45,47.6,0.945378151
"Moniek",1,32,44.1,0.725623583
"Moniek",2,23,41.7,0.551558753
"Moniek",3,25,47.6,0.525210084
"Morami",1,51,44.1,1.156462585
"Morami",2,72,41.7,1.726618705
"Morami",3,44,47.6,0.924369748
"Raimee",1,1,44.1,0.022675737
"Raimee",2,0,41.7,0
"Raimee",3,1,47.6,0.021008403
"Roosje",1,4,44.1,0.090702948
"Roosje",2,5,41.7,0.119904077
"Roosje",3,3,48.9,0.061349693
"Tesua",1,1,44.1,0.022675737
"Tesua",2,0,41.7,0
"Tesua",3,0,47.6,0
"Tushi",1,12,44.1,0.272108844
"Tushi",2,4,41.7,0.095923261
"Tushi",3,4,47.6,0.084033613
